period_type,period_start,period_label,reporter_country,reporter_iso,partner_country,partner_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,export_value_usd,export_quantity_ton,export_unit_value_usd_per_ton,export_value_usd_yoy_pct,export_quantity_ton_yoy_pct,export_unit_value_yoy_pct,export_value_usd_mom_pct,export_quantity_ton_mom_pct,export_unit_value_mom_pct,market_share_by_value_pct,market_share_by_quantity_pct,unit_value_rank_by_period,value_rank_by_period,quantity_rank_by_period,data_quality_flag,unit_value_flag,confidence_score,notes,source_name,source_url,fetched_at
A,2020-01-01,2020,Vietnam,VNM,Philippines,PHL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,47334828.103,31068.330524,1523.571666,,,,,,,2.508507,2.571731,59,11,11,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Rep. of Korea,KOR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,46897953.791,29878.348575,1569.630051,,,,,,,2.485355,2.473228,37,12,12,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,United Kingdom,GBR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,38641888.452,24489.002412,1577.928239,,,,,,,2.047825,2.027116,33,13,13,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,China,CHN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,35576966.828,23558.1244,1510.178239,,,,,,,1.8854,1.950061,61,14,14,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,France,FRA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,28762956.679,18731.72861,1535.520681,,,,,,,1.524292,1.550549,56,15,16,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,India,IND,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,28725594.449,19865.187916,1446.026817,,,,,,,1.522312,1.644373,65,16,15,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Australia,AUS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,23186038.823,14981.931002,1547.60016,,,,,,,1.228743,1.240153,48,17,17,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Poland,POL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,19843392.251,13150.902997,1508.899598,,,,,,,1.0516,1.088587,62,18,18,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Netherlands,NLD,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,18222344.832,10736.808399,1697.184504,,,,,,,0.965692,0.888756,15,19,20,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Egypt,EGY,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,17623578.206,10928.126079,1612.680717,,,,,,,0.933961,0.904593,26,20,19,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Portugal,PRT,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,16154463.482,10099.465966,1599.536405,,,,,,,0.856105,0.835999,30,21,22,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Greece,GRC,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,16090834.993,10340.623092,1556.079827,,,,,,,0.852733,0.855962,46,22,21,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Ecuador,ECU,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,13446042.4,8725.43934,1541.016088,,,,,,,0.712572,0.722262,51,23,23,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Indonesia,IDN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,13120117.35,8403.416574,1561.283703,,,,,,,0.6953,0.695606,44,24,24,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Tunisia,TUN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,12160654.945,7773.804705,1564.311866,,,,,,,0.644453,0.643489,41,25,25,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Israel,ISR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,10234437.164,6496.669983,1575.335855,,,,,,,0.542374,0.537772,35,26,26,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Canada,CAN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,9840552.51,5892.12091,1670.1206,,,,,,,0.5215,0.48773,18,27,27,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Ukraine,UKR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,8876263.127,5368.376271,1653.435355,,,,,,,0.470397,0.444376,20,28,28,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Ireland,IRL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,6972393.6,3381.533678,2061.902753,,,,,,,0.369502,0.279912,3,29,32,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Slovenia,SVN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,6667620.839,4234.59639,1574.55876,,,,,,,0.35335,0.350525,36,30,29,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Dominican Rep.,DOM,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,6118560.038,4152.649259,1473.411227,,,,,,,0.324253,0.343742,64,31,30,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Morocco,MAR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,5918282.961,3853.698252,1535.741144,,,,,,,0.313639,0.318996,55,32,31,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Sweden,SWE,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,3845276.058,2451.139637,1568.770706,,,,,,,0.20378,0.202897,39,33,33,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Romania,ROU,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,3564597.18,2281.757086,1562.215891,,,,,,,0.188906,0.188876,42,34,34,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Croatia,HRV,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2902790.92,1938.359436,1497.550385,,,,,,,0.153833,0.160451,63,35,35,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Finland,FIN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2886754.78,1794.827117,1608.374842,,,,,,,0.152983,0.14857,28,36,36,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Mexico,MEX,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2606125.718,1684.935561,1546.721298,,,,,,,0.138112,0.139473,49,37,37,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Denmark,DNK,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2417619.45,1520.71529,1589.790979,,,,,,,0.128122,0.12588,31,38,38,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,"Other Asia, nes",S19,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1988845.008,1081.342858,1839.236273,,,,,,,0.105399,0.08951,8,39,41,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Bulgaria,BGR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1815061.709,1167.435815,1554.742184,,,,,,,0.096189,0.096636,47,40,39,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,United Arab Emirates,ARE,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1748367.154,1046.586265,1670.542804,,,,,,,0.092655,0.086633,17,41,42,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Czechia,CZE,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1730425.4,1123.861782,1539.713715,,,,,,,0.091704,0.093029,52,42,40,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Lithuania,LTU,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1639520.7,994.248038,1649.005718,,,,,,,0.086886,0.0823,21,43,44,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,South Africa,ZAF,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1590566.875,1015.648738,1566.060012,,,,,,,0.084292,0.084072,40,44,43,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
A,2020-01-01,2020,Vietnam,VNM,Kuwait,KWT,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1562847.893,906.318755,1724.390988,,,,,,,0.082823,0.075022,14,45,45,ok,ok,0.85,"Export unit value is calculated as total export value USD divided by total quantity tons. It is an average proxy, not a transaction, contract, FOB invoice, or exact selling price.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-05-26T17:43:55.608Z
